code|division|grupo|clase|categoria|name|nombre
03340000|03000000|03300000|03340000|03340000|03340000|Marcas auriculares para animales
03341000|03000000|03300000|03340000|03341000|03341000|Marcas auriculares para ganado bovino
03400000|03000000|03400000|03400000|03400000|03400000|Productos de la silvicultura y de la explotación forestal
03410000|03000000|03400000|03410000|03410000|03410000|Madera
03411000|03000000|03400000|03410000|03411000|03411000|Madera de coníferas
03412000|03000000|03400000|03410000|03412000|03412000|Madera de especies tropicales
03413000|03000000|03400000|03410000|03413000|03413000|Madera para calefacción
03414000|03000000|03400000|03410000|03414000|03414000|Madera en bruto
03415000|03000000|03400000|03410000|03415000|03415000|Madera blanda
03416000|03000000|03400000|03410000|03416000|03416000|Residuos de madera
03417000|03000000|03400000|03410000|03417000|03417000|Madera de desecho
03417100|03000000|03400000|03410000|03417000|03417100|Serrín
03418000|03000000|03400000|03410000|03418000|03418000|Troncos
03418100|03000000|03400000|03410000|03418000|03418100|Madera dura
03419000|03000000|03400000|03410000|03419000|03419000|Madera de construcción
03419100|03000000|03400000|03410000|03419000|03419100|Productos de madera
03419200|03000000|03400000|03410000|03419000|03419200|Madera de mina
03420000|03000000|03400000|03420000|03420000|03420000|Gomas
03421000|03000000|03400000|03420000|03421000|03421000|Bálsamos
03422000|03000000|03400000|03420000|03422000|03422000|Laca
03430000|03000000|03400000|03430000|03430000|03430000|Corcho
03431000|03000000|03400000|03430000|03431000|03431000|Corcho natural
03432000|03000000|03400000|03430000|03432000|03432000|Artículos de cestería
03432100|03000000|03400000|03430000|03432000|03432100|Artículos de espartería
03440000|03000000|03400000|03440000|03440000|03440000|Productos de la silvicultura
03441000|03000000|03400000|03440000|03441000|03441000|Plantas, hierbas, musgos o líquenes para uso ornamental
03450000|03000000|03400000|03450000|03450000|03450000|Productos de vivero
03451000|03000000|03400000|03450000|03451000|03451000|Plantas
03451100|03000000|03400000|03450000|03451000|03451100|Plantas para trasplantar
03451200|03000000|03400000|03450000|03451000|03451200|Bulbos florales
03451300|03000000|03400000|03450000|03451000|03451300|Arbustos
03452000|03000000|03400000|03450000|03452000|03452000|Árboles
03460000|03000000|03400000|03460000|03460000|03460000|Pasta de celulosa
03461000|03000000|03400000|03460000|03461000|03461000|Pasta de madera
03461100|03000000|03400000|03460000|03461000|03461100|Pasta química de madera
09000000|09000000|09000000|09000000|09000000|09000000|Derivados del petróleo, combustibles, electricidad y otras fuentes de energía
09100000|09000000|09100000|09100000|09100000|09100000|Combustibles
09110000|09000000|09100000|09110000|09110000|09110000|Combustibles sólidos
09111000|09000000|09100000|09110000|09111000|09111000|Carbón y combustibles derivados del carbón
09111100|09000000|09100000|09110000|09111000|09111100|Carbón
09111200|09000000|09100000|09110000|09111000|09111200|Combustibles derivados del carbón
09111210|09000000|09100000|09110000|09111000|09111210|Antracita
09111220|09000000|09100000|09110000|09111000|09111220|Briquetas
09111300|09000000|09100000|09110000|09111000|09111300|Combustibles fósiles
09111400|09000000|09100000|09110000|09111000|09111400|Combustibles de madera
09112000|09000000|09100000|09110000|09112000|09112000|Lignito y turba
09112100|09000000|09100000|09110000|09112000|09112100|Lignito
09112200|09000000|09100000|09110000|09112000|09112200|Turba
09113000|09000000|09100000|09110000|09113000|09113000|Coque
09120000|09000000|09100000|09120000|09120000|09120000|Combustibles gaseosos
09121000|09000000|09100000|09120000|09121000|09121000|Gas de hulla, gas de red o gases similares
09121100|09000000|09100000|09120000|09121000|09121100|Gas de hulla o gases similares
09121200|09000000|09100000|09120000|09121000|09121200|Gas de red
09122000|09000000|09100000|09120000|09122000|09122000|Propano y butano
09122100|09000000|09100000|09120000|09122000|09122100|Gas propano
09122110|09000000|09100000|09120000|09122000|09122110|Gas propano licuado
09122200|09000000|09100000|09120000|09122000|09122200|Gas butano
09122210|09000000|09100000|09120000|09122000|09122210|Gas butano licuado
09123000|09000000|09100000|09120000|09123000|09123000|Gas natural
09130000|09000000|09100000|09130000|09130000|09130000|Petróleo y destilados
09131000|09000000|09100000|09130000|09131000|09131000|Queroseno de aviación
09131100|09000000|09100000|09130000|09131000|09131100|Combustibles tipo queroseno para reactores
09132000|09000000|09100000|09130000|09132000|09132000|Gasolina
09132100|09000000|09100000|09130000|09132000|09132100|Gasolina sin plomo
09132200|09000000|09100000|09130000|09132000|09132200|Gasolina con plomo
09132300|09000000|09100000|09130000|09132000|09132300|Gasolina con etanol
