code,categoria,nombre
19211100,19211000,Tejidos de mezcla
19212100,19212000,Cutí
19212200,19212000,Tejidos de mezclilla («denim»)
19212300,19212000,Lona
19212310,19212000,Artículos de lona
19212400,19212000,Popelina
19212500,19212000,Cinchas
19212510,19212000,Cinchas y correas
19251100,19251000,Tejidos de terciopelo y felpa
19435100,19435000,Hilo de coser
19435200,19435000,Hilados para tejer
19442100,19442000,Hilos sintéticos de coser
19442200,19442000,Hilados sintéticos para tejer
19511100,19511000,Fajas de protección de la cámara de aire del neumático
19511200,19511000,Cámaras de aire
19511300,19511000,Bandas de rodadura de neumáticos
19513100,19513000,Tejidos para cuerdas de neumáticos
19513200,19513000,Cinta adhesiva de tejidos cauchutados
19521100,19521000,Hojas de poliestireno
19521200,19521000,Losas de poliestireno
19522100,19522000,Resina epoxi
19522110,19522000,Tubos de resina epoxi
22114100,22114000,Diccionarios
22114200,22114000,Atlas
22114300,22114000,Mapas
22114310,22114000,Mapas catastrales
22114311,22114000,Cianotipos
22114400,22114000,Música impresa
22114500,22114000,Enciclopedias
22211100,22211000,Boletines oficiales
22212100,22212000,Publicaciones por entregas
22455100,22455000,Pulseras de identificación
22459100,22459000,Tiras y adhesivos publicitarios
22461100,22461000,"Portalistas, portamenús y soportes análogos"
22816100,22816000,Blocs de notas
22816200,22816000,Cuadernos de taquigrafía
22816300,22816000,Blocs de hojas adhesivas
22822100,22822000,Formularios comerciales de papel continuo
22822200,22822000,Formularios comerciales en hojas sueltas
22841100,22841000,Libros de sellos
22841200,22841000,Clasificadores para filatelia
22852100,22852000,Cubiertas para documentos
22993100,22993000,Papel o cartón fotosensible
22993200,22993000,Papel o cartón termosensible
22993300,22993000,Papel o cartón termográfico
22993400,22993000,Papel o cartón ondulado
24111100,24111000,Argón
24111200,24111000,Gases nobles
24111300,24111000,Helio
24111400,24111000,Neón
24111500,24111000,Gases medicinales
24111600,24111000,Hidrógeno
24111700,24111000,Nitrógeno
24111800,24111000,Nitrógeno líquido
24111900,24111000,Oxígeno
24112100,24112000,Dióxido de carbono
24112200,24112000,Óxidos de nitrógeno
24112300,24112000,Compuestos oxigenados inorgánicos gaseosos
24113100,24113000,Aire líquido
24113200,24113000,Aire comprimido
24211100,24211000,Óxido de zinc
24211200,24211000,Peróxido de zinc
24211300,24211000,Óxido de titanio
24212100,24212000,Óxido de cromo
24212200,24212000,Óxido de manganeso
24212300,24212000,Óxido de plomo
24212400,24212000,Óxido de cobre
24212500,24212000,Óxido de magnesio
24212600,24212000,Hidróxidos para tintes y pigmentos
24212610,24212000,Hidróxido de cromo
24212620,24212000,Hidróxido de manganeso
24212630,24212000,Hidróxido de plomo
24212640,24212000,Hidróxido de cobre
24212650,24212000,Hidróxido de magnesio
24311100,24311000,Metaloides
24311110,24311000,Fosfuros
24311120,24311000,Carburos
24311130,24311000,Hidruros
24311140,24311000,Nitruros
24311150,24311000,Aziduros (azidas)
24311160,24311000,Siliciuros
24311170,24311000,Boruros
24311180,24311000,Azufre refinado
24311200,24311000,Halógeno
24311300,24311000,Metales alcalinos
24311310,24311000,Mercurio
24311400,24311000,"Cloruro de hidrógeno, ácidos inorgánicos; dióxido de silicio y dióxido de azufre"
24311410,24311000,Ácidos inorgánicos
24311411,24311000,Ácido sulfúrico
24311420,24311000,Ácido fosfórico
24311430,24311000,Ácidos polifosfóricos
24311440,24311000,Ácido hexafluorosilícico
24311450,24311000,Dióxido de azufre
24311460,24311000,Dióxido de silicio
24311470,24311000,Cloruro de hidrógeno
24311500,24311000,Hidróxidos en forma de sustancias químicas inorgánicas básicas
24311510,24311000,Óxidos metálicos
24311511,24311000,Piritas de hierro y óxidos de hierro
24311520,24311000,Hidróxido de sodio
24311521,24311000,Sosa cáustica
24311522,24311000,Lejía de sosa cáustica
24311600,24311000,Compuestos de azufre
24311700,24311000,Azufre
24311800,24311000,Carbono
24311900,24311000,Cloro
24312100,24312000,Halogenatos metálicos
