categoria,clase,nombre
31522000,31520000,Luces para árbol de Navidad
31523000,31520000,Placas indicadoras y letreros luminosos
31524000,31520000,Accesorios para iluminación de techo o de pared
31527000,31520000,Focos
31531000,31530000,Bombillas
31532000,31530000,Partes de lámparas y accesorios de iluminación
31611000,31610000,Juegos de cables
31612000,31610000,Cableados eléctricos para motores
31625000,31620000,Avisadores eléctricos de protección contra robos e incendios
31642000,31640000,Aparatos para detección electrónica
31643000,31640000,Aceleradores de partículas
31644000,31640000,Registradores diversos de datos
31645000,31640000,Billares eléctricos
31651000,31650000,Cinta aislante
31671000,31670000,Ampollas abiertas de vidrio y tubos de rayos catódicos
31681000,31680000,Accesorios eléctricos
31682000,31680000,Artículos eléctricos
31711000,31710000,Material electrónico
31712000,31710000,"Maquinaria, aparatos y microsistemas microelectrónicos"
31731000,31730000,Material electrotécnico
32211000,32210000,Equipo de producción de radiodifusión
32221000,32220000,Radiofaros
32222000,32220000,Aparatos de codificación de señales de vídeo
32223000,32220000,Aparatos transmisores de vídeo
32224000,32220000,Aparatos transmisores de televisión
32231000,32230000,Aparatos de televisión en circuito cerrado
32232000,32230000,Equipo de videoconferencia
32233000,32230000,Estaciones de amplificación de radiofrecuencia
32234000,32230000,Cámaras de televisión en circuito cerrado
32235000,32230000,Sistema de vigilancia en circuito cerrado
32236000,32230000,Radioteléfonos
32237000,32230000,Emisores-receptores portátiles
32251000,32250000,Teléfonos para automóvil
32252000,32250000,Teléfonos GSM
32321000,32320000,Equipo de proyección de televisión
32322000,32320000,Equipo multimedia
32323000,32320000,Videomonitores
32324000,32320000,Receptores de televisión
32331000,32330000,Platos giradiscos
32332000,32330000,Magnetófonos
32333000,32330000,Aparatos de grabación o reproducción de vídeo
32341000,32340000,Micrófonos
32342000,32340000,Altavoces
32343000,32340000,Amplificadores
32344000,32340000,Receptores para radiotelefonía o radiotelegrafía
32351000,32350000,Accesorios para equipo de sonido y vídeo
32352000,32350000,Antenas y reflectores
32353000,32350000,Grabaciones de sonido
32354000,32350000,Productos de película
32411000,32410000,Red de anillo con paso de testigo
32412000,32410000,Red de comunicaciones
32413000,32410000,Red integrada
32415000,32410000,Red Ethernet
32416000,32410000,Red RDSI
32417000,32410000,Redes multimedia
32418000,32410000,Red de radio
32421000,32420000,Cableado de red
32422000,32420000,Componentes de red
32423000,32420000,Nodos de red
32424000,32420000,Infraestructura de red
32425000,32420000,Sistema de explotación de red
32426000,32420000,Sistema de edición de red
32427000,32420000,Sistema de red
32428000,32420000,Actualización de la red
32429000,32420000,Equipo de red telefónica
32441000,32440000,Equipo de telemetría
32442000,32440000,Cuadros de bornes
32521000,32520000,Cable de telecomunicaciones
32522000,32520000,Equipo de telecomunicaciones
32523000,32520000,Instalaciones de telecomunicaciones
32524000,32520000,Sistema de telecomunicaciones
32531000,32530000,Equipo de comunicaciones por satélite
32532000,32530000,Antenas parabólicas
32533000,32530000,Estaciones terrestres de telecomunicaciones por satélite
32534000,32530000,Plataformas satélite
32541000,32540000,Equipo de conmutador
32542000,32540000,Cuadros de conmutadores para centrales telefónicas
32543000,32540000,Cuadros de conmutadores para centrales telefónicas
32544000,32540000,Equipo de PABX
32545000,32540000,Sistemas de PABX
32546000,32540000,Equipo de conmutación digital
32547000,32540000,Conmutadores de vacío
32551000,32550000,Cables telefónicos y equipo asociado
32552000,32550000,Aparatos eléctricos de telefonía o telegrafía por hilo
32553000,32550000,Partes de aparatos telefónicos o telegráficos eléctricos
32561000,32560000,Conexiones de fibra óptica
32562000,32560000,Cables de fibra óptica
32571000,32570000,Infraestructura de comunicaciones
32572000,32570000,Cable de comunicaciones
32573000,32570000,Sistema de control de comunicaciones
32581000,32580000,Equipo de comunicación de datos
32582000,32580000,Soportes de datos
32583000,32580000,Medios de soporte de datos y señales vocales
32584000,32580000,Medios de soporte de datos
33111000,33110000,Aparatos para radiología
33112000,33110000,"Material de imaginería ecográfica, doppler y por ultrasonidos"
33113000,33110000,Equipo de imaginería por resonancia magnética
33114000,33110000,Espectroscopios
33115000,33110000,Tomógrafos
33121000,33120000,Sistema de registro ambulatorio de larga duración
33122000,33120000,Aparatos de oftalmología
33123000,33120000,Aparatos para exploración cardiovascular
33124000,33120000,Aparatos y material para diagnóstico y radiodiagnóstico
33125000,33120000,Aparatos para exploración urológica
33126000,33120000,Aparatos para estomatología
33127000,33120000,Aparatos para análisis inmunológicos
33128000,33120000,Láseres médicos distintos de los usados en cirugía
33131000,33130000,Instrumentos de dentista
33132000,33130000,Implante dental
33133000,33130000,Material de impresión para dentaduras
33134000,33130000,Material accesorio para endodoncia
33135000,33130000,Aparatos para ortodoncia
33136000,33130000,Instrumento rotativo y abrasivo
33137000,33130000,Material accesorio para profilaxis dental
33138000,33130000,Productos para prótesis y rebase
33141000,33140000,Productos consumibles médicos no químicos desechables y productos consumibles hematológicos
33151000,33150000,Aparatos y material para radioterapia
33152000,33150000,Incubadoras
33153000,33150000,Litotritor
33154000,33150000,Aparatos de mecanoterapia
33155000,33150000,Equipos para fisioterapia
