clase,grupo,nombre
34320000,34300000,"Piezas de recambio mecánicas, excepto motores y partes de motores"
34330000,34300000,"Repuestos para vehículos de transporte de mercancías, camionetas y automóviles"
34350000,34300000,Neumáticos para vehículos ligeros y para vehículos pesados
34360000,34300000,Asientos para aeronaves civiles
34370000,34300000,Asientos para vehículos de motor
34390000,34300000,Accesorios para tractor
34410000,34400000,Motocicletas
34420000,34400000,Motocicletas ligeras y bicicletas con motor auxiliar
34430000,34400000,Bicicletas
34510000,34500000,Buques
34520000,34500000,Barcos
34610000,34600000,Locomotoras y ténderes
34620000,34600000,Material móvil
34630000,34600000,Partes de locomotoras de ferrocarril o tranvía o material móvil; equipo de control del tráfico de ferrocarriles
34640000,34600000,Elementos automotores
34710000,34700000,"Helicópteros, aviones, naves espaciales y otras aeronaves propulsadas"
34720000,34700000,"Globos aerostáticos, dirigibles y otras aeronaves sin propulsión"
34730000,34700000,"Partes de aeronaves, naves espaciales y helicópteros"
34740000,34700000,"Equipamiento, entrenadores, simuladores de vuelo y sus partes para aeronaves o naves espaciales"
34910000,34900000,"Carros de tracción animal o manual, otros vehículos sin propulsión mecánica, carritos para equipaje y piezas de recambio diversas"
34920000,34900000,Equipo para carreteras
34930000,34900000,Equipo marino
34940000,34900000,Equipo ferroviario
34950000,34900000,Equipamiento con amplia capacidad de carga
34960000,34900000,Equipo aeroportuario
34970000,34900000,Equipo para monitorización del tráfico
34980000,34900000,Billetes de transporte
34990000,34900000,"Equipo de control, seguridad, señalización e iluminación"
35110000,35100000,"Equipo de extinción de incendios, salvamento y seguridad"
35120000,35100000,Sistemas y dispositivos de vigilancia y seguridad
35210000,35200000,Blancos para práctica de tiro
35220000,35200000,Equipo antidisturbios
35230000,35200000,Esposas
35240000,35200000,Sirenas
35250000,35200000,Repelentes para ataques caninos
35260000,35200000,Señales de policía
35310000,35300000,Armas diversas
35320000,35300000,Armas de fuego
35330000,35300000,Municiones
35340000,35300000,Partes de armas de fuego y municiones
35410000,35400000,Vehículos militares blindados
35420000,35400000,Partes de vehículos militares
35510000,35500000,Buques de guerra
35520000,35500000,Partes de buques de guerra
35610000,35600000,Aeronaves militares
35620000,35600000,Misiles
35630000,35600000,Naves especiales militares
35640000,35600000,Partes de equipos aeroespaciales militares
35710000,35700000,"Sistemas de mando, control, comunicación e informáticos"
35720000,35700000,"Inteligencia, vigilancia, adquisición de objetivos y reconocimiento"
35730000,35700000,Sistemas de guerra electrónica y contramedidas
35740000,35700000,Simuladores de combate
35810000,35800000,Equipo individual
35820000,35800000,Equipo de apoyo
37310000,37300000,Instrumentos musicales
37320000,37300000,Partes y accesorios de instrumentos musicales
37410000,37400000,Equipo para deportes al aire libre
37420000,37400000,Equipo de gimnasio
37430000,37400000,Equipo para boxeo
37440000,37400000,Equipo para el ejercicio físico
37450000,37400000,Equipo para deportes practicados en terreno de juego y en cancha
37460000,37400000,Juegos de tiro y mesa y sus equipos
37470000,37400000,Equipo para golf y bolos
37480000,37400000,Máquinas y aparatos para actividades de ocio
37510000,37500000,Muñecas
37520000,37500000,Juguetes
37530000,37500000,"Artículos para parques de atracciones, juegos de mesa o de salón"
37540000,37500000,Máquinas de juego
37810000,37800000,Artículos para trabajos artesanales
37820000,37800000,Artículos para trabajos artísticos
38110000,38100000,Instrumentos de navegación
38120000,38100000,Instrumentos de meteorología
38210000,38200000,Brújulas geológicas
38220000,38200000,Aparatos de prospección geológica
38230000,38200000,Instrumentos geofísicos electromagnéticos
38240000,38200000,Instrumentos geofísicos de medición de la gravedad
38250000,38200000,Instrumentos geofísicos de polarización inducida (PI)
38260000,38200000,Instrumentos geofísicos de magnetometría
38270000,38200000,Instrumentos geofísicos de resistividad
38280000,38200000,Gravímetros
38290000,38200000,"Instrumentos y aparatos de geodesia, hidrografía, oceanografía e hidrología"
38310000,38300000,Balanzas de precisión
38320000,38300000,Mesas de dibujo
38330000,38300000,Instrumentos de uso manual para medir longitudes
38340000,38300000,Instrumentos de medida de cantidades
38410000,38400000,Instrumentos de cómputo
38420000,38400000,"Instrumentos de medida del caudal, nivel y presión de líquidos y gases"
38430000,38400000,Aparatos de detección y análisis
38510000,38500000,Microscopios
38520000,38500000,Escáneres
38530000,38500000,Difractógrafos
38540000,38500000,Máquinas y aparatos de pruebas y medida
38550000,38500000,Contadores
38560000,38500000,Contadores de producción
38570000,38500000,Instrumentos y aparatos de regulación y control
38580000,38500000,Equipo no médico basado en el uso de radiaciones
38620000,38600000,Materias polarizantes
38630000,38600000,Instrumentos ópticos y de astronomía
38640000,38600000,Dispositivos de cristal líquido
38650000,38600000,Equipo fotográfico
38710000,38700000,Registradores de asistencia
38720000,38700000,Fechadores y contadores
38730000,38700000,Parquímetros
38740000,38700000,Cronómetros de tiempos de fabricación
38750000,38700000,Interruptores horarios
38810000,38800000,Equipo de control de procesos industriales
38820000,38800000,Equipo con mando a distancia
38910000,38900000,Equipo de control y ensayo higiénicos
38920000,38900000,Equipo para semillas y piensos
38930000,38900000,Instrumentos de medición de la humedad
38940000,38900000,Instrumentos de evaluación nuclear
38950000,38900000,Equipo para reacción en cadena de la polimerasa (PCR)
38960000,38900000,Dispositivo antiarranque por alcoholemia
38970000,38900000,"Investigación, ensayos y simuladores científico-técnicos"
39110000,39100000,"Asientos, sillas y productos conexos y piezas correspondientes"
39120000,39100000,"Mesas, armarios, escritorios y librerías"
39130000,39100000,Muebles de oficina
39140000,39100000,Mobiliario doméstico
39150000,39100000,Mobiliario y equipo diverso
39160000,39100000,Mobiliario escolar
39170000,39100000,Mobiliario de tienda
39180000,39100000,Mobiliario de laboratorio
39190000,39100000,Papel para decorar y otros revestimientos
39220000,39200000,"Equipo de cocina, artículos de uso doméstico y artículos de catering"
39230000,39200000,Producto para usos especiales
39240000,39200000,Cubertería
39260000,39200000,Bandejas de distribución y material de escritorio
39270000,39200000,Artículos religiosos
39290000,39200000,Complementos de mobiliario diversos
39310000,39300000,Equipo de catering
39330000,39300000,Equipo de desinfección
39340000,39300000,Equipo para red de distribución de gas
39350000,39300000,Equipo para estaciones de depuración
39360000,39300000,Equipo de sellado
39370000,39300000,Instalaciones de tratamiento de aguas
39510000,39500000,Artículos textiles para uso doméstico
39520000,39500000,Artículos textiles de confección
39530000,39500000,"Alfombras, esteras y alfombrillas"
39540000,39500000,"Cordaje diverso, cuerda, bramante y redes"
39550000,39500000,Artículos no tejidos
39560000,39500000,Artículos textiles diversos
39710000,39700000,Aparatos electrodomésticos
39720000,39700000,Aparatos domésticos no eléctricos
39810000,39800000,Preparaciones odoríferas y ceras
39820000,39800000,Agentes orgánicos tensoactivos
39830000,39800000,Productos de limpieza
41110000,41100000,Agua potable
41120000,41100000,Agua no potable
42110000,42100000,Turbinas y motores
42120000,42100000,Bombas y compresores
42130000,42100000,"Grifos, llaves, válvulas y aparatos similares"
42140000,42100000,"Engranajes, ruedas de fricción y elementos de transmisión"
42150000,42100000,Reactores nucleares y sus partes
42160000,42100000,Instalaciones de calderas
42210000,42200000,"Máquinas y aparatos para la elaboración de alimentos, bebidas y tabaco"
42220000,42200000,"Partes de máquinas y aparatos para procesar alimentos, bebidas y tabaco"
42310000,42300000,Quemadores para la alimentación de hornos
42320000,42300000,Incineradores de residuos
42330000,42300000,Hornos de fusión
42340000,42300000,Hornos de uso no doméstico
42350000,42300000,Crematorios
42390000,42300000,Partes de quemadores o de hornos
42410000,42400000,Equipos de elevación y de manipulación
42420000,42400000,"Cangilones, cucharas, cucharas de almeja, palas y garras o pinzas para grúas o excavadoras"
42510000,42500000,"Intercambiadores de calor, equipos de aire acondicionado y refrigeración y aparatos para filtrar"
42520000,42500000,Equipo de ventilación
42530000,42500000,"Partes de equipos refrigeradores y congeladores, y de bombas de calor"
